Document,Dominant Topic,Probability,Original Text
3852,10,0.25101596,"rexroth has expanded its portfolio of linear robots for various applications in factory automation, significantly reducing the engineering time. they can be selected and sized quickly and easily thanks to predefined axis combinations, then finalized online and ordered as preassembled subsystems – optionally with controllers for the new ctrlx automation platform. each multi-axis system is also available as a smart function kit for handling or dispensing. learn more here: "
3853,10,0.33623883,"in-person hydraulic technology seminar: may 1-5, 2023 bosch rexroth canada is excited to announce our first in-person hydraulic technology seminar since 2019 presented at our brand new customer experience centre in burlington, on. as a result of overwhelming requests, we will be offering the rexroth hyi-101 \(overview of industrial hydraulics\) seminar in conjunction with gauge hydraulics during the week of may 1-5, 2023. this is a 4-1/2 day seminar offering an introduction and comprehensive overview of industrial hydraulic technology with a 50/50 mix of classroom lecture and hands-on lab time to maximize learning. the information presented in this seminar will by far surpass any previous trades training. view the full course outline and register via the following link. "
3854,10,0.22797278,"from all of us here at rexroth, we hope everyone had an enjoyable and safe easter weekend with their friends and families!"
3855,10,0.2523657,"automation thats as easy as using a smartphone. thats ctrlx automation from rexroth. moves your factory into the future with open standards, in-app programming technology and a comprehensive iotconnection. ctrlxautomation details at: "
3856,11,0.3085392,"built on 225 years of leadership as a global industrial company and leading specialist in drive and control technology, we welcome the opportunity to share our knowledge in engineering product, technology and process efficiency. for more information, contact training\@boschrexroth.ca. "
3857,10,0.27881244,"now is the time to make your factory fit for the demands of the future! at bosch rexroth, we use the achievements of digitalization and iot to help our customers produce faster, more efficiently: better. find out how the products and solutions from bosch rexroth can help you to get the most out of iot and to manufacture likeabosch. click here: "
3858,10,0.34988993,"plug-and-produce is a smart new way to build better manufacturing systems. the rexroth smart function kit for pressing and joining applications provides a fast, ready-to-use mechatronic package thats easy to engineer and start using. learn more: "
3859,11,0.25691018,in 2023 it is more important than ever to keep connecting and engaging – thats why we promise to keep moving in order to keep you competitive. we are 24/7 available and at your service. visit 
3860,10,0.28215098,"bosch rexroth canada is excited to announce our first in-person hydraulic technology seminar since 2019, presented at our brand new customer xperience centre in burlington, on. as a result of overwhelming requests, we will be offering the rexroth hyi-101 \(overview of industrial hydraulics\) seminar in conjunction with gauge hydraulics during the week of may 1-5. view the full course outline and register at: "
3861,10,0.25236675,"automation thats as easy as using a smartphone. thats ctrlx automation from rexroth. moves your factory into the future with open standards, in-app programming technology and a comprehensive iotconnection. ctrlxautomation details at: "
3862,10,0.23722161,"have you been to the new rexroth store? it will provide you with an enhanced online experience with essential information you need about your account, and streamline your rexroth product selection process. visit the rexroth store: "
3863,10,0.23618187,"the varioflow plus chain conveyor system from rexroth is quick to assemble and quiet in operation. you get ingenious solutions and numerous combination options thanks to a modular system, free selection of the motor mounting position on-site, and more. discover varioflow plus: "
3864,10,0.25102586,"rexroth has expanded its portfolio of linear robots for various applications in factory automation, significantly reducing the engineering time. they can be selected and sized quickly and easily thanks to predefined axis combinations, then finalized online and ordered as preassembled subsystems – optionally with controllers for the new ctrlx automation platform. each multi-axis system is also available as a smart function kit for handling or dispensing. learn more here: "
3865,10,0.28640255,"need to reduce complexity, boost productivity & reliability, and meet the toughest emission regulations? from pumps and gears to accumulators and filters, rely on rexroth mobile hydraulic components and solutions to help. "
3866,10,0.1972977,"dont forget, rexroth offers a complete range of innovative drive and control solutions backed up by in-depth expertise and best-in-class service portfolio, including: design, engineering, manufacturing, commissioning, field service, repairs, upgrades & retrofits. contact us today at 1-855-rexroth or service\@boschrexroth.ca"
3867,10,0.21312962,"from all of us at rexroth, we wish everyone a relaxing victoria day with their loved ones!"
3868,10,0.25297385,"after 30+ years in the fast lane, boschrexroth customers have realized more than 10 billion km of linear motion with over 1 million linearaxes. find out more: "
3869,10,0.3116097,"the future has arrived! bosch rexroth is leading the way in demonstrating the potential of an automated future in which manufacturers can easily adapt to changing trends, produce customised products, and deliver fast. with factoryofthefuture youll meet customer demands through smart manufacturing. "
3870,10,0.18493734,"robot precision one step further: the smartflexeffector is a compensation module that increases precision and opens up new areas of application, e.g. for handling robots or cartesian systems. the intelligent all-rounder detects position deviations and translates them into active correction movements. learn more about the new smart flex effector from boschrexroth: "
3871,1,0.2918363,"a conveyor like rexroth activemover can help you boost process quality, productivity, and profitability in every workpiece. read these tips on how to choose the right conveyor system for your assembly operation. wemoveyouwin "
3872,1,0.2756518,"bosch rexroth’s advanced connected hydraulics technology will leverage machine power & intelligence to break through limits and set new benchmarks for performance, functionality and lifetime. discover how rexroth can help you advance your automation solutions in 2023. "
3873,10,0.25098574,"rexroth has expanded its portfolio of linear robots for various applications in factory automation, significantly reducing the engineering time. they can be selected and sized quickly and easily thanks to predefined axis combinations, then finalized online and ordered as preassembled subsystems – optionally with controllers for the new ctrlx automation platform. each multi-axis system is also available as a smart function kit for handling or dispensing. learn more here: "
3874,10,0.27562192,ctrlx automation from boschrexroth is spurring a revolution in engineering freedom! learn how the flexibility of open software architecture creates a new vision for factory automation. automationtechnology ctrlxautomation details at: 
3875,1,0.34503925,"smart mechatronix: the perfect ready-to-install system for handling applications including pick & place, palletizing, packaging, assembly, machine loading, and logistics. easy product selection; zero programming; plug & produce. the smart mechatronix solution. "
3876,11,0.2568787,in 2023 it is more important than ever to keep connecting and engaging – thats why we promise to keep moving in order to keep you competitive. we are 24/7 available and at your service. visit 
3877,8,0.20578516,"with fewer components, less space and less cost, the imscompact measuring system is economical and fully integrated, not to mention compact. the measuring sensor is fully integrated in the runner block with the integrated measuring system. see linearmotion products by rexroth: "
3878,10,0.2788021,"now is the time to make your factory fit for the demands of the future! at bosch rexroth, we use the achievements of digitalization and iot to help our customers produce faster, more efficiently: better. find out how the products and solutions from bosch rexroth can help you to get the most out of iot and to manufacture likeabosch. click here: "
3879,11,0.30854648,"built on 225 years of leadership as a global industrial company and leading specialist in drive and control technology, we welcome the opportunity to share our knowledge in engineering product, technology and process efficiency. for more information, contact training\@boschrexroth.ca. "
3880,1,0.21069276,"the future of hydraulic power units is here to maximize energy density. learn how the innovative design of cytrobox from boschrexroth delivers more power with a smaller, greener footprint. 👉 "
3881,10,0.30558792,"dont miss the opportunity to connect with our experts, learn about our innovative products, and discover how bosch rexroth can propel your battery production to new heights at the battery show. will we see you there? use our exclusive code ""special"" to get a free expo pass and 20% off a conference pass ! visit bosch rexroth in booth 2517! suburban collection showplace, 46100 grand river ave, novi, mi , usa 09/12/2023 - 09/14/2023 👉 "
3882,11,0.28081727,"unleash potential, join our team! now hiring bright student minds 🌟 futureleaders studentopportunities joinustoday hiring"
3883,11,0.29525954,"are you ready to get the most out of snow & ice industry controllers, modules, pumps and accessories? at compu-spread we have the right technology and the right people to support your technology! we look forward to finally meeting you at apwa north american snow conference. meet us at chi health center, booth 625 from april 16th to april19th 2023. boschrexroth compuspread people"
3884,1,0.1856892," extreme heat and difficult environmental conditions - hardly any other industry places such high demands on machines and systems as metallurgy. at the same time, it is one of the key industries in the value chains of automotive and mechanical engineering. continuity of the production process is therefore of crucial importance here. as a competent and reliable service partner, we support you in maintaining this and optimize your total cost of ownership \(tco\) together with you. in our web seminar, we present our service portfolio to you. we offer repairs and spare parts from the original manufacturer, unbeatable field service, customer-specific spare parts management solutions, customized maintenance concepts and much more. and all this is supported by the comprehensive hydraulics know-how of our service experts - worldwide and around the clock. sounds exciting? then join our web seminar!"
3885,11,0.40271705,"breaking barriers and building bridges: a dcca womens leadership community event dedicated to empowering, inspiring, and elevating women from all walks of life. 🙌 this event was a celebration of women in the stem fields, their achievements, and their unwavering resilience in the face of obstacles and challenges.  moving forward. boschrexroth wekeepmoving thankyou"
3886,10,0.28273568,"today marks the first day of our two-day internal factoryautomation training in our burlington customer experience centre. the purpose of this training is for our associates to strengthen their product knowledge and expertise so we can best serve our customers. we would also like to thanks  ,vp sales factory automation at bosch rexroth north america to participate in the event and also talk about the future of fa technologies in canada. fast faevent wemoveyouwin"
3887,10,0.3003529,"the final day of our two-day internal factoryautomation training in our burlington customer experience centre has come to an end.  know it is even more important to keep connecting and engaging with our customers and this training it is a promise to connect, lead the way in demonstrating the potential of an automated future providing the most valuable solutions and keep moving. fast faevent wemoveyouwin"
3888,1,0.35316145,would you like to know how linearrobots can improve your factory automation? register now for our free web seminar and experience the versatility of linear robots in action. learn more about application examples and possible uses of linear robots and experience live the simple commissioning and graphical programming of a dispensing process. register now for free below. boschrexroth smartflexeffector linearmotiontechnology smartmechatronix
3889,11,0.23073165,"last week we attended the 2023  agm in beautiful st. andrews by the sea, new brunswick. the theme of the agm this year was “the power of positivity”. industry members had the chance to hear some amazing speakers and contribute to round table discussions lead by the cfpa board members. a large topic that was covered was education and how we can influence the next generation to consider a career in the fluid power industry. thank you to the \@cfpa for putting on another amazing event. see you next year! cfpa fluidpower hydraulics boschrexroth getpumped"
3890,10,0.23529543,at . canadaday2023 boschrexroth wemoveyouwin brazil brazilbbq
3891,11,0.28459325,selfies are just fun! and with cool bosch power tools as prizes? thats double fun! 🎁 🎁 😃 congratulations 🎉 to . bosch rexroth indonesia thanks all participants for the enthusiasm and will contact the winners privately for delivery arrangement. rexrothautomation otomasitanpabatas
3892,10,0.28971225,"2022 closing, bosch rexroth indonesia makes another delivery, together with aldik, our partner for education. the mms 4.0 and activecockpit make their new home at one of jakartas top-10 engineering schools. in the coming weeks, bosch rexroth licensed training center will open its doors to those seeking to upskill for industry 4.0. watch this space for more information! if youre interested about setting up your own ltc with bosch rexroth, hit us up in the comment box or reach out to us from "
3893,10,0.27385423,wishing you a merry christmas and a very happy new year! bosch rexroth indonesia thanks you for a great 2022. lets make 2023 even greater together!
3894,10,0.28085247,"explained, our promise of ""we move. you win."""
3895,10,0.28772503,"at bosch rexroth indonesia, we have a lot of ❤ for our customers and are committed to delivering our best. because wemoveyouwin. how would you like us to show you the love? tell us in the comment box below!"
3896,10,0.31811997,"the sytronix week begins on monday. have you registered your interest in this free event yet? follow the link below to see what sessions we have available and move with us towards more sustainable, energy efficient hydraulics solutions. you can sign up for one, or all events. sytronixweek energy sustainable"
3897,11,0.3556994,"earlier in the month, we at bosch rexroth indonesia had a workshop going over business strategies and ideas for continouos improvement process. for the first time, we did the workshop outdoors. it did wonders to the employees engagement all through the evening! we also did a playtowin exercise where everyone of all management levels had fun hunting for ""purchase orders"" and learned what goes in the work of securing a profitable order. have you been in workshops outdoor? how do you feel about them? wemoveyouwin"
3898,10,0.23766717,"gfb 84 t2 coming and going is a regular sight in our batam warehouse. in this picture, its getting ready to be transported to a major customer. along with a20vo 520 pumps. our gfb swing gears are compact, suitable for applications where precise positioning is necessary like in excavators, cranes, forestry machines, and ship unloaders. for more info, contact us at +622130050700. or check out our gearboxes here "
3899,10,0.32768407,high-performance and communication-ready control platform for automation. scalable and compact system. the open software architecture opens up new degrees of freedom: customers can choose from various apps in the ctrlx store or develop their own software. find out more in the video link. ctrlxautomation rexrothautomation otomasitanpabatas
3900,8,0.22507668,"a key industry for our factory automation division is fast moving consumer goods. these are products that have a high inventory turnover and a relatively low cost that satisfies a customers immediate want or need. bosch rexroth helps your factory move so you can win. find out all the ways we do this through intralogistics, automation, packaging and more below. rexrothautomation factoryautomation fmcg"
3901,1,0.39611647,"submersible up to 60 meters, hägglunds cbm 2000 motor makes waves in indonesia waters. compact, shock-load resistant, with full torque from zero to full speed. the new generation motors of ca, cb, and cbm series from hägglunds extend the service life of your cutter head drive and dredgers, taking your performance to the next level. thinking to upgrade your cutter head drive or any other applications for marine segmentation? contact bosch rexroth indonesia to discuss."
3902,11,0.26534656,proud and empowered. confident and happy. strong and independent. happy womens day to all women around the globe.
3903,10,0.30716684,"bosch rexroth indonesia is proud to partner with pidi 4.0 on the path to makingindonesia4.0. come witness the grand launch of the countrys i4.0 center presenting talks on digitaltransformation, sustainability, and 5gtechnology. step into bosch rexroth booth on level 6 and see for yourself how our ctrlx automation changes the game in automation."
3904,10,0.28863257,"bosch rexroth indonesia, in collaboration with aldik sejahtera, invites you to the grand launch of pidi 4.0 on 14-17 march. link to register is in the comment. learn more about ctrlx automation and its vast applications for a more efficient production line. ctrlxautomation rexrothautomation otomasitanpabatas"
3905,10,0.20287879,"thank god its friday, iot day! 😀 before you head out for the weekend, come over to pidi 4.0 and listen to , expert in factory automation & iot picking your mind about industrial iot. ctrlxautomation rexrothautomation"
3906,10,0.25421506,"iot and automation enthusiasts getting an overview on how ctrlx automation is a complete solution with its real-time operating system, iot connectivity, app programming technology. check out our pages; link in the comment. ctrlxautomation"
3907,1,0.30850533,"360 committment from first installation and onwards – that’s what we strive for at bosch rexroth indonesia. for example, this week our hägglunds expert andi oktavia prahmajaya is tasked with getting a sugarmill customer up to speed with our digital controlsystem spider for the hägglunds drive systems installed decades ago. for almost 30 years, hägglunds has been a provider in the sugar sector, with solutions for mill drive applications and more. customers have enjoyed high efficiency with our hydraulic drives compared to traditional drives. with no foundations, no gearboxes, and no sensitive couplings, hägglunds drives offer flexibility and reliability beyond the ordinary. they also deliver exceptional power, with control over speed and torque no other drive solution can match. the new generation cbm series are just as powerful as the marathon series, but smaller and lighter, with lifetime even longer. read in the first comment what another long-standing customer says about their millingmachine post hägglunds installation. and talk to our sugar segment manager rakhmat basuki today to see what sweet 🍬 offers we may have."
3908,10,0.30580536,cutting corners to save money? often it leads to just the opposite and causes downtime. join our free web seminar on 29th of march to learn about ways to minimize downtime. serviceindustry rexrothservice
3909,8,0.24032432,"do you ever get dizzy in view of the large amount of time ⏱ required for the sizing, selection, configuration, commissioning and programming of your handling subsystem? read our blog article on how to integrate your linear robot efficiently, easily and flexibly: "
3910,10,0.36350733,teamrexrothindonesia - meet  now. hes certainly up for the challenge! engineering designengineer iotsolutions eto boschrexroth
3911,10,0.25878254,the fully equipped and integrated hydraulic power unit cytropac provides maximum power in a small space with fast installation. visit the link below to see how easy it is to connect and go. 
3912,10,0.22360642,have a happy hipster easter!
3913,10,0.20749086,"are you attending hannover messe 2023, the hot spot for industrial transformation? showcasing excellent innovations and unusual products 17-21 april, it’s one not to be missed. comment below to let us know if you are attending. get you tickets now from "
3914,11,0.1951299,"a customer of pulp & paper sent a few motors and pumps for repair, and our team goes to work. first one to get the loving touch of the team is this cbm 2000. from inspection, testing, to repainting, our service team will make sure each and every part returns to a high efficiency of 90-95% for the customers wash press."
3915,10,0.2487437,we won!!! 🏆🥳🥳👏 hermesaward no less! the win strengthens our positioning in industrial automation 💪
3916,11,0.20515192,"bosch rexroth indonesia wishes you a blessed and joyful eid al fitr 1444h in 2023. our offices are closed 19-25 april. during this period, you can still contact us from "
3917,1,0.24407275,"see for yourself why it won the hermesaward!! join our web seminar on 28 april 2:00 pm \(wib\). the smart flex effector is redefining the boundaries of factory automation. it gives industrial robots the sensitivity of a human hand. find out how quickly you could, for example, solve a pin in a hole task an intelligent manner. learn how easy it is to connect it to any robots or grippers and what options there are for testing it in a simple and straightforward way. experience the smart flex effector in action at our web seminar with live commissioning. register now and get ready for the next level in robotic precision! "
3918,1,0.30121168,"the power of one - a direct hydraulic drive in a single unit! for the first time, customers in mining, materials handling, and other industries with equipment in lower power ranges such as apron feeders, belt feeders, belt conveyors, and infeed conveyors, have a plug-and-play answer. easy to install; it requires only 3-phase input power and control voltage. learn more: "
3919,1,0.26789114,"consumer packaged goods \(cpg\) packaging lines need built-in flexibility to make it easy to move or modify footprints in response to market changes. this boschrexroth technical article provides valuable insights into ways to choose open, flexible conveyor technology that wont trap packaging lines in limited configurations. to read: "
3920,1,0.36030763,"faster, more flexible and precise, active mover linear motor conveyor system can handle a wide range of processes while helping increase process quality, productivity and even cost-effectiveness. to learn more about our active mover: "
3921,1,0.3669471,"it is hard to imagine industry without linear robots. they adapt to any requirements and are suitable for a wide range of applications. in battery or vehicle production for example, they assist with palletizing, pick & place or dispensing. to find out how linear robots could improve your factory automation, take part in our free linear robot web seminar with live demo on thursday 25 may, 2:00-2:45 pm indonesia western time/wib. the highlights: - live demonstration of a dispensing process - example applications and possible uses for linear robots - quick and easy commissioning and process programming for our linear robots take part in our free web seminar and experience the versatility of linear robots in action! click here below for your personal registration link! "
3922,10,0.20991212,"one year ago on may 25th, bosch rexroth indonesia expanded its footprint by opening an office in batam, one of the countrys bustling hub cities. the operation is growing fast having delivered its 10,000th shipment recently and the office has had the pleasure of executive visits from southeast asia all the way to usa. the local team will also be welcoming new members very soon."
3923,1,0.20284808,"bosch rexroths cytropac and ctrlx automation got their time of day during the annual press conference of  delivered earlier this week. these heroes from the connected hydraulics and industrial automation product lines resonated well with innovation and sustainability, topics core at bosch. connectedhydraulic industrialautomation"
3924,10,0.29820064,"answering your ask for a training on ctrlx automation, were inviting you to ctrlx automation 101, a hands-on session to unlock the wonders of ctrlx for iiot system and plc applications. we have class schedules for every month for the rest of the year; the first one is on 6 july. be sure to catch one of these free classes; open to both professionals and students. register now to secure your seat and youre on your way to changing the game of automation. check in the comment for link to the location of the upcoming class. iot plcprogramming ctrlxautomation "
3925,11,0.26590356,"look at the smiles of these game changers from our automation 101 class on 6 july! driving automation, bosch rexroth is helping professionals and students have a better understanding of iiot and plc applications. happy to see that many are reciprocating; our effective-size hands-on classes with ctrlx automation demo kits have been receiving great interests. get on the game changer train now and move up your automation skills. iot iiot plcprogramming ctrlxautomation"
3926,10,0.32272965,"enthusiastic engineer students with inquisitive minds? were so ready to feed your appetite for practical learning! hurry, apply now and movewithus . engineers internship"
3927,10,0.2747572,"always here to keep you moving. when a palm oil customer was in need of a new inverter for their id fan boiler,  were quick to support with our ready-stock frequency converter vfc 5610. with our competitive price, the decision to change out the old inverter happened as fast as it takes to do an oil change. vfc 5610 from boschrexroth is suitable for high-end machinery applications for many industries. the power range of 0.4….355 kw, with start-up torque of 0.5 hz/200 %, and torque control or speed control options, vfc 5610 sure packs a lot of power 💪💪 are you in palmoil business? we have the right solutions for you. talk to us today. palmoil fanboiler frequencyconverter"
3928,1,0.29856804,"are you storing your hydraulic motors properly? a customer’s cbm motor, recently put into action after it had been in storage for more than two years, was said not to run as it should. upon inspection, we found rust on some of the inner parts. spoiler alert: rust is never a machine’s best friend. we understand how important for you to have your machines available when you need them, so here are some tips. when your motors are expected to go into storage for a significant time before they are put into service, some measures should be taken to ensure they will be suitable for operation when needed. for long-term storage of hägglunds drive motors, we recommend the following: ✅ storage should be indoors in a clean, dry area ✅ place motors in a horizontal position to avoid putting unnecessary pressure on the shaft ✅ motors should be stored with oil filled in, ideally one that contains anti-rust protection ✅ have the shaft rotated once a year to allow redistribution of the lubricant and to ensure no inner parts are stuck if your pumps and motors don’t seem to be running well, call us for assistance at 021-3005 0700."
3929,10,0.32419702,"From the project to the development of solutions or services, engineers move everything around us!Always working with customers and improving applications, with our professionals it is possible to raise Rexroth technology to another level.Our recognition for those who, through their knowledge, are able to build a more innovative world.👨‍💻⚙️ Be part of the future of engineering!Get to know our area vacancies at: "
3930,10,0.24512973,"The Bodas solution offers a maximum degree of freedom in a complete and connected IoT ecosystem!Through Over-The-Air \ (OTA \) updates, additional features can be achieved much more easily and efficiently, without the need for technicians or mechanics.Now, off-highway manufacturers can choose exactly what they need to make their vehicle fleet digital and suitable for remote services.The future of mobil machines is beyond the roads 🚜🌐 Learn more at: "
3931,10,0.29599032,"Flexible journeys are already a reality for most companies - and the Bosch group is not left out of this!With the modality, we provide greater autonomy and flexibility for our employees, according to their scope of activity/area of expertise, adapt the working hours to their daily lives.👩‍💻🕗 Our employees is what moves us.And you, do you want to be part of this team?Click on the link to know our available vacancies "
3932,10,0.28255942,"Our 2023 Training Program is available!Basic from Basic to Advanced, the courses cover all our areas and translate in the classes the challenges that professionals find in everyday work.Whether online or face -to -face, we want to offer you a high and efficient high level training - adding to your professional development.lets go together?Visit our full schedule through the link: "
3933,11,0.33666345,"As a constantly evolving and transformation technology company, continuous learning is part of our essence.Therefore, through our training area, we want to contribute to the development of industry and countryside professionals and support them in their daily challenges, with the transfer of this value that knowledge and education have.We believe that the experience we experienced in our courses is a two -way road, the more we share, the more we learn.And that fills us with pride.Check out our full schedule for 2023: "
3934,10,0.33608395,"Are you interested in entering a leading technology and services company?So this moment is yours!😀 The Bosch Rexroth Pomerode/SC hiring and training program is open for the industrial sector.Be part of our team and count on the qualification process and other benefits, as chartered for neighboring regions to the city.Come move the world with us!If you apply through the link: "
3935,11,0.34079236,"Bosch Rexroth Pomerodes hiring and training program is the ideal opportunity for those who want to go further!🚀 There are several job openings in CLT and immediate hiring for the industrial sector, integrated with theoretical education with classes in the first 3 months and carried out in the company itself, in a technological and innovative environment.Until February 10th you can guarantee your registration for the program, go to: "
3936,11,0.25280023,"Hydraforce inc.And Bosch Rexroths compact hydraulics business has now officially joined forces to create a powerful collaboration in the world of Hydraulics compact hydraulics.Providing more value to our customers, this Parceria will further increase our global hydraulics offer, combining the knowledge and experience of both companies to create a unified product portfolio for the Mobil and Industrial market.Together, even stronger.Learn more: "
3937,11,0.28213608,"Your opportunity to board a company focused on professional development has arrived!📢 Registration for the Bosch Rexroth Pomerode/SC hiring and training program are open and end on 10/02.Selected employees will receive a free course in the area of expertise, as well as having benefits such as chartered and medical and dental agreement.For information about vacancies, go to: "
3938,11,0.37302992,"dnarexroth is made up of innovation and look at the future.And this is only possible due to our partnerships🤝 between 28/02 and 02/03, we held the Partners Connection 2023, which brought together the Bosch Rexroth sales team with the Mobil and Industrial Business Partner Network, aiming to strengthen our identity throughexchange of ideas and experiences.The event had various activities and lectures to strengthen the team and go even further!🚀 PartersConnection"
3939,11,0.24353908,"Bosch Rexroth reached 7 billion euros in 2022, the highest value in the companys history.Compared to the previous year \ (6.2 billion euros \), sales increased by 14.1%.Acquisitions and partnerships are strengthening the product portfolio and will contribute to the company to reach future growth and a regularly balanced configuration.Investments in new and existing units, as well as in innovations, reached record levels.In late 2022, Bosch Rexroth had a global workforce of about 32,100 employees, an increase of 3%.Check out more details at: "
3940,1,0.39414287,"Bringing chocolate eggs to you is no longer function of Easter bunny!🐰 Designed especially for use in the food and packaging industries, our transportation systems generate agility in delivery time, with shorter cycles at all stages of production processes, as well as ensuring hygienic and efficient manipulation.For everything to flow, whether materials or solutions, we offer a complete range of components for intelligent and scalable interconnection in production and logistics.Learn more about our production line products at: "
3941,10,0.241662,"We dont just think off the box, but also off the road!Mobil machine generation is constantly developing, creating a network of electrified, electronic and digital solutions.Our concept is divided into now with technologies already implemented and recognized in the market;Next to improve what already exists and reinvent mobil solutions;and beyond going beyond, thinking today to develop an agile, safe and efficient future for machinery.It deepens in the NOW concept.Next.Beyond.Visit "
3942,1,0.23078619,"More sustainability, efficiency and productive quality: These are the results of the tune between technology and agribusiness.🌐🌾 With technological evolution, it is possible to ensure a more efficient production in the field.And today, one can no longer talk about feeding the world without quoting agro, nor doing so without relate to technology and environment.This is the central theme of the new episode of Boschtalks 🎙.Check out the complete chat with many exchanges of experiences and information and participation of the sales and applications manager Mobil from Rexroth,  , Stara Research and Development Director and other special guests.Visit: "
3943,10,0.3383313,"We believe that professional development is a constant journey of learning with studies and practice!After 6 weeks of classes and qualification, in partnership with Senai, our Pomerode/SC unit welcomes 30 participants in the Operational Hiring and Training Program, which will be part of our team, operating in the production lines.The program aims to foster learning and ensure the development of new employees in the industrial area.👩‍🔧👨‍🏭 If you also want to be part of this team, go to "
3944,10,0.2819062,"Expand knowledge move towards excellence and we want to be together with you on this journey!If you want to learn more about architecture and sizing of hydraulic systems, participate in our PHR course classes - new -faced hydraulic projects.The module was fully reformulated to meet the challenges of professionals who work or wish to work in the area.A rich opportunity for networking and immersion on the subject with experts   Gure your vacancy at https: // bit.LY/3HSFYOY AND KNOW OUR NEW TRAINING CENTER!"
3945,8,0.2051447,"We believe the distance should not prevent you from knowing our products and services to the industry.⚙️🌍 Therefore, if you didnt have the opportunity to personally check out the Rexroth solutions at the Hannover 2023 fair, we took a sample of our booth to you!Experience a little of what it was to be in one of the largest industrial technology events in the world, a complete immersion and online with connected hydraulic solutions, linear technologies and the CTRLX Automation platform.Visit our 360º booth at: "
3946,11,0.31464234,"Behind an innovative industry, we find skilled professionals with expertise in different areas!📚💡🏭 They are the gear that drives the success of companies in the midst of technological transformation.And so we believe in the importance of keeping employees always up to date.In a scenario where qualification requirements evolve constantly, we promote the development of industry professionals through training modules for all levels of experience - preparing technicians for the sectors challenges in a practical way.Knowledge moves the industry!🚀🔧 Learn more at: "
3947,11,0.3198992,"We value and respect the singularities of each of our employees, because we believe that when sharing different experiences, we are even further!🚀 An inclusive culture provides a plural, inspiring and productive environment.And for this, during June, the Bosch Group promotes a series of internal initiatives focused on encouraging and celebrating diversity.With activities such as lectures and conversation wheels, our employees and external guests can have moments of exchange of experiences and, of course, a lot of learning.Want to know more about diversity in the Bosch Group?Check out "
3948,11,0.23848607,"The 1st semester flying, isnt it?If it was too busy and you almost didnt have time to upgrade technically, how about enjoying it now, quickly and efficiently?Watch the full playlist of the knowledge pills!📚 In the series that already has almost 30 episodes, our experts answer doubts and clarify common concepts and myths in our segment.The videos were produced by Rexroth training area to share didactic and relevant information with industry and countryside professionals.enjoy!ComnateSmove "
3949,11,0.3741711,"Pride of our collaborators who are examples of professionals who move our company.💙 Check out the Bosch Group tribute to successful women, with special participation of:   and Thaynara Almeida."
3950,11,0.34442946,"Our Controllership Manager  (UM: LI: Person: 1JPVDJAWXB) is an example of leadership with its 24 years of experience, which resulted in an admirable professional journey.We encourage the balance between personal and professional life in order to stimulate the search for different solutions and ways of working.You can also make our team, learn about the vacancies available: "
3951,10,0.2842185,"In March, we started the first class of the Electromechanical Technical Course in Pomerode/SC - Project of the Robert Bosch Institute in partnership with Bosch Rexroth.📚 Over the course of two years, 32 young people from 16 to 18 years old will study for free at Sesi and Senai, raising technical knowledge and developing Skills SOFTS through socio -emotional content.Learning and teaching go hand in hand, so our employees will also have the opportunity to participate in volunteer activities, as well as sharing their experiences with young people.We move today to generate a future of opportunities!Want to know the institutes projects?Visit: "
3952,11,0.26361153,"In 2022, here we present innovative technologies and solutions to assist in the challenges of industry 🏭-and of course we could not stop taking them closer to you!Throughout the year, we participated in fairs and lectures, where it was possible to expand network of contacts, strengthen partnerships, as well as divide our experiences.In this tbt, we want to share with you striking moments we experienced at the fairs.stay tuned!By 2023, we will create new memories 👀 Follow us for more information and comment, in which fairs are you planning to go this year?"
3953,10,0.20588575,"We have a meeting scheduled at the largest agriculture fair in Brazil - agrishow!🚜🌾 In it, we will present hydraulic and electronic technologies that provide productivity and economics for agricultural machines and implements, as well as other BOSCH group solutions for vehicle monitoring, electric tools and spare parts.Get to know todays market technologies, tomorrow and the future.Guarantee your ticket at "
3954,10,0.26484075,"Many women inspire us daily, being leading or working on the operation.And everything intensifies when they become mothers!An example of this is  (UM: Li: Person: 4-HGLZV9E4), professional here at Bosch Rexroth for 15 years that tells us a little about her experience.And you, do you know any professional and mother who stands out?Mark her here in the comments and show how much you admire her.Enjoy this moment to honor other professionals who inspire you!Mothers Day"
3955,10,0.2354547,"Our commitment to the future and new generations is always to be ahead.Sustainability is one of our values and a daily conduct that guides the development of new technological solutions.🌎 Here we recycle 100% of our generated waste, that is, nothing we discard will stop in landfills.And in the Pomerode/SC plant we go beyond, through the “Zero Aterro” project, the restaurants waste turned fertilizers to the gardens.This initiative is part of the concept of circular economy that generates benefits not only for us but also for the environment!And the numbers show that we are on the right track.drags to the side and check out 👉🍃🌱 diadomeioambiente"
3956,10,0.2698197,"Between June 27th and 30th our destination is the FISPAL2023 Fair, the largest event of the Food and Packaging Industries in Latin America!Prepare to see closely the main Rexroth solutions that move the sector, such as Varioflow-versatile and flexible carrier, even under demanding conditions-applied with Ctrlx Automation-modular, scalable system that achieves the requirements for a range of applications.The factory of the future is today.🏭🚀 We wait for you!See more information at "
